,angle average,accept. rate,run time
chain 14,-0.3369267764106222,34.0,4150.03
chain 24,-0.3348047623333385,34.0,4383.45
chain 4,-0.3347380402375461,35.0,4108.14
chain 18,-0.3395583741551712,34.0,4131.24
chain 30,-0.332448538771103,35.0,4148.07
chain 2,-0.3353141674273896,34.0,4124.91
chain 19,-0.333221032210323,35.0,4374.0
chain 25,-0.3382109249663935,35.0,4146.08
chain 11,-0.3397914121998372,34.0,4103.67
chain 23,-0.3253430320017494,35.0,4159.98
chain 29,-0.3367782177821788,35.0,4106.98
chain 9,-0.3352045520455213,34.0,4141.68
chain 22,-0.3296952183807562,35.0,4160.47
chain 12,-0.3360509462237488,34.0,4250.85
chain 10,-0.3312505625056261,35.0,4159.51
chain 5,-0.3364365857944303,34.0,4269.04
chain 6,-0.3283355476411916,35.0,4127.83
chain 1,-0.3390998624271967,34.0,4236.11
chain 26,-0.3318854759976181,35.0,4313.55
chain 21,-0.33976093332362,34.0,4093.33
chain 27,-0.3335231280884246,34.0,4334.47
chain 20,-0.3277947565189945,35.0,4170.28
chain 15,-0.326915140579978,35.0,4109.23
chain 7,-0.324270692706928,35.0,4138.44
chain 28,-0.3248010194387666,35.0,4136.44
chain 17,-0.3358489799183716,35.0,4124.99
chain 3,-0.3285706785639295,34.0,4119.08
chain 8,-0.338777752063236,35.0,4248.71
chain 13,-0.3321358285011432,35.0,4127.22
chain 16,-0.3292694498373565,34.0,4117.6
