,angle average,accept. rate,run time
chain 22,-0.3250302503025026,49.0,104012.0
chain 8,-0.3529039384143839,49.0,104707.0
chain 25,-0.33412808503085,49.0,104331.0
chain 27,-0.3488552854278541,49.0,104299.0
chain 7,-0.3214574020740205,49.0,107362.0
chain 28,-0.334799801123011,49.0,104857.0
chain 6,-0.3278118781187808,49.0,105256.0
chain 16,-0.3195971209712095,49.0,105522.0
chain 23,-0.3467175859258589,48.0,104341.0
chain 9,-0.3230302303023026,49.0,104781.0
chain 24,-0.3233874119991196,49.0,106357.0
chain 4,-0.3304736797367971,49.0,105473.0
chain 2,-0.3262102683526831,49.0,104870.0
chain 3,-0.3419362349873496,49.0,104807.0
chain 21,-0.3255317709427091,49.0,103789.0
chain 17,-0.3183024267742675,49.0,103626.0
chain 15,-0.3521220399703996,49.0,105750.0
chain 26,-0.3327205647056467,49.0,104085.0
chain 1,-0.3265038369133689,49.0,104733.0
chain 29,-0.3381014497644973,49.0,103953.0
chain 30,-0.325685716232162,49.0,105481.0
chain 18,-0.3277568338183379,49.0,104747.0
chain 5,-0.3321259556345561,49.0,104091.0
chain 12,-0.3146095742207418,49.0,104812.0
chain 10,-0.354050368628686,49.0,105335.0
chain 14,-0.3261500333753335,49.0,105120.0
chain 20,-0.3513811356863566,48.0,104871.0
chain 19,-0.3217933398083977,49.0,105499.0
chain 11,-0.3339579239542393,49.0,103427.0
chain 13,-0.3424108334833345,49.0,103556.0
